"Author","CommR"
"Kapur__Manu",26
"Kara__Melike",95
"Karch__Anne",9
"Kawasaki__Jarod",10
"Kerlin__Steven",69
"Ketelhut__Diane_J.",3
"Kidwai__Khusro",157
"Kilb__Deborah",27
"Kilgore__Deborah",72
"Kim__Younsu",3
"Kimmerle__Joachim",20
"King__Elizabeth",3
"Kirschner__Paul",14
"Klahr__David",84
"Klopfer__Eric",3
"Knight__Amanda",10
"Kobiela__Marta",51
"Koedinger__Ken",1
"Kohen.Vacs__Dan",79
"Kolikant__Yifat_Ben.David",12
"Kollar__Ingo",61
"Kollias__Vassilis",6
"Kolodner__Janet",68
"Korbinian__Moeller",20
"Krajcik__Joseph",73
"Krakowski__Moshe",8
"Krauskopf__Karsten",16
"Krinsky__Hindi",40
"Krumm__Andrew_E.",17
"Kunath__Janet",14
"Kuo__Wang.Hsin",76
"Kupperman__Jeff",78
"Kwon__Eun_Ju",4
"Kyza__Eleni",6
"Laferriere__Therese",1
"Laffey__James",17
"Lam__IvanCK",121
"Land__Susan",5
"Langer.Osuna__Jennifer",113
"Lara.Meloy__Teresa",56
"Larreamendy__Jorge",7
"Larusson__Johann",87
"Lasry__Nathaniel",15
"Law__Nancy",1
"Law__Victor",94
"Leander__Kevin",13
"Lee__Hee.Sun",2
"Lee__Hee_Seung",63
"Lee__Victor",21
"Leenaars__Frank",2
"Legare__Cristine",10
"Lehrer__Rich",51
"Leng__Jing",1
"Lesk__Hannah",11
"Levin__Daniel",102
"Levin__Mariana",96
"Levine__John",1
"Levine__Susan",8
"Levinson__Amber",8
"Levrini__Olivia",33
"Lewis__Katherine",139
"Li__Wenjuan",97
"Lichtenwalner__Sage",23
"Lin__Chiu.Pin",19
"Lineback__Jennifer",109
"Linn__Marcia",2
"Liu__Chen.Chung",76
"Liu__Lei",50
"Liu__May",19
"Liu__Ou_Lydia",2
"Liu__Tzu.Chien",19
"Llorente__Carlin",11
"Lombardi__Doug",1
"Lombrozo__Tania",10
"Lonn__Steven",17
"Looi__Chee.Kit",24
"Louca__Loucas_T.",58
"Lu__Jingyan",1
"Luehmann__April_Lynn",43
"Luesse__Sarah",7
"Luna__Melissa",13
"Lund__Kristine",115
"Lundh__Patrik",11
"Ly__Uyen",47
"Lyons__Leilah",5
"Ma__Jasmine",13
"Macalalag__Augusto",23
"Maddox__Cody",7
"Madeira__Cheryl",15
"Magner__Ulrike",38
"Magnifico__Alecia_Marie",144
"Maher__Carolyn",4
"Majerich__David",3
"Makara__Kara",17
"Maloney__Alan",117
"Mancy__Rebecca",104
"Mann__Llewellyn",49
"Marbach.Ad__Gili",22
"Marchlewicz__Sara",29
"Martell__Sandra_Toro",4
"Martin__Caitlin",8
"Martin__Crystle",3
"Martin__Lee",16
"Martinez.Garza__Mario",3
"Martinez__Mara",97
"Maskiewicz__April_Cordero",111
"Mathews__James",93
"Matlen__Bryan",84
"Mattis__Kristina_V.",62
"Matuk__Camillia",2
"McCarty__Glenda",12
"McChesney__Jane",36
"McDonald__Scott",106
"McDonnell__Janice",23
"McElhaney__Kevin",2
"McNeill__Katherine",10
"Mehus__Siri",7
"Menda__Justin",1
"Mertl__Veronique",8
"Messina__Richard",119
"Metz__Kathleen",47
"Michael__Georgia",6
"Miles.Kingston__Robert",36
"Minh__Chieu_Vu",82
"Mitamura__Teruko",1
"Moher__Tom",27
"Moore__Allison",2
"Moraveji__Neema",1
"Morrison__Deborah",52
"Moschkovich__Judit",56
"Moskaliuk__Johannes",20
"Mouza__Chrystalla",142
"Mulligan__Martha",13
"Najafi__Hedieh",15
"Narciss__Susanne",81
"Nash__Padraig",54
"Nasir__Na.ilah_Suad",44
"Nasser__Samira",6
"Nathan__Mitchell",2
"Nelson__Brian",3
"Nelson__Brian_C.",3
"Newman__Alan",12
"Niccolai__Gerald_P.",64
"Nicolaidou__Iolie",6
"Nokes__Timothy",1
"Notari__Michele",85
"Novellis__Francesco",27
"Novick__Laura",2
"NŸckles__Matthias",41
"O.Neill__D._Kevin",12
"Occhino__Michael",43
"Oh__Yoonsin",3
"Onaral__Banu",1
"Orrill__Chandra",48
"Otero__Valerie",149
"Ou__Jimmy_Xiantong",1
"Ow__John",86
"Packer__Martin",7
"Paechter__Manuela",34
"Palius__Marjory",4
"Palmquist__Sasha",145
"Papadouris__Nicos",6
"Parnafes__Orit",143
"Pasnik__Shelley",11
"Passmore__Cynthia",92
"Pat.El__Ron_J.",81
"Paus__Elisabeth",74
"Pea__Roy",16
"Pearce__Laura",12
"Pecori__Barbara",33
"Pedro__Michael_Sao",2
"Pellegrino__James",29
"Penuel__William",11
"Peppler__Kylie",75
"Perkins__Kristen",8
"Perpich__Diana",17
"Peters__Vanessa",15
"Pettyjohn__Patrick",31
"Phelps__David",83
"Phielix__Chris",14
"Philippi__Susanne",41
"Phillips__Brenda",2
"Phillips__Nathan",13
"Phillips__Rachel_S.",11
"Pierson__Jessica",32
"Pilitsis__Vicky",23
"Pimentel__Diane",10
"Pinkard__Nichole",8
"Ploetzner__Rolf",99
"Plummer__Julia",110
"Polman__Joseph",12
"Popescu__Octav",38
"Porsch__Torsten",122
"Poyas__Yael",140
"Prechtl__Helmut",61
"Presti__Peter",25
"Prins__Frans",14
"Pruet__Susan",65
"Prusak__Naomi",1
"Puntambekar__Sadhana",9
"Radinsky__Josh",12
"Raes__Annelies",15
"Raffle__Hayes",37
"Randall__Dan",55
"Ranney__Michael",118
"Rasmussen__Chris",1
"Ratliff__Kristin",8
"Raziuddin__Juelaila",2
"Rebello__Sanjay",9
"Redfors__Andreas",6
"Reeve__Suzanne",5
"Reimann__Peter",26
"Reisman__Avishag",45
"Renkl__Alexander",38
"Resendes__Monica",88
"Rhodes__Suzanne",136
"Richards__Jennifer",102
"Richards__Kimberly",8
"Rienties__Bart",42
"Roberts__Sarah_A.",52
"Robertson__Beth",78
"Rogers__Chris",18
"Rogers__Maryanna",8
"Roll__Ido",2
"Ronen.Fuhrmann__Tamar",103
"Ronen__Miky",79
"Roschelle__Jeremy",32
"Rose__Carolyn",46
"Rosè__Carolyn",1
"Rose__Shari",5
"Rosengren__Karl",2
"Rouinfar__Amy",9
"Rowden.Quince__Bianca",62
"Rugaber__Spencer",4
"Rummel__Nikol",1
"Russ__Rosemary",13
"Ryan__Stephanie",29
"Ryoo__Kihyun",2
"Ryssel__Jeannine",14
"Ryu__Minjung",22
"Ryu__Suna",10
"Saballus__Ulf",6
"Saffer__Jessica",2
"Saleem__Hafiz",40
"Saleh__Asmalina",5
"Samarapungavan__Ala",70
"San_Chee__Yam",3
"Sandoval__William",10
"Sands__Lorraine",36
"Santis__Maria",58
