"","x"
"Law__Victor",0
"Lawless__Kimberly",0
"Lax__Leila",0
"Lea__John",0
"Lee__Chwee_Beng",0
"Lee__Hsueh_Chien_Dawn",0
"Lee__Namseok",0
"Lee__Shuh_Shing",0
"Lee__Sunghye",0
"Lee__Yeung",10.5
"Lee__Yew.Jin",0
"Lei__Jing",0
"Leng__Jing",0
"LEUNG__Lawrence",0
"Lewis__Armanda",0
"Li__Cen",0
"Li__Kangli",0
"Li__Kedong",0
"Li__Yanyan",0
"Liao__Calvin_C._Y.",0
"Lin__Chiu.Pin",0
"Linn__Marcia",8.5
"Lit__Shirley",0
"Liu__Lei",0
"Ljubojevic__Dejan",0
"Loll__Frank",0
"Lomas__Derek",0
"Lonn__Steven",0
"Looi__Chee.Kit",4584.02582264141
"Looi__Chee_Kit",2414.91507936508
"Lopez__Oscar_Hernandez",0
"Loser__Kai.Uwe",0
"Lu__Jingyan",0
"Luckin__Rosemary",138.5
"Ludvigsen__Sten",0
"Lui__Michelle",3725
"Lund__Kristine",160.844444444444
"Luo__Heng",0
"MacLennan__Cameron",0
"Madeira__Cheryl_Ann",0
"Makitalo.Siegl__Kati",0
"Maldonado__Luis_Facundo",0
"Mandl__Heinz",1
"Mann__Susanna",0
"Marbouti__Farshid",0
"Maria__Chuy",0
"Markauskaite__Lina",192
"Martin__Taylor",0
"Martinez__Roberto",0
"Mathews__Jim",0
"Matschke__Christina",0
"Matteucci__Maria_Cristina",0
"Matuk__Camillia",8.5
"Mavrikis__Manolis",0
"Mayfield__Elijah",554
"McGillion__Michael",0
"McLaren__Bruce",1904
"Medina__Richard",160.844444444444
"Mercier__Emma",276
"Messina__Richard",65.5400055044762
"Metcalf__Shari",0
"Michael__Georgia",0
"Milrad__Marcelo",0
"Miyake__Naomi",8
"Mochizuki__Toshio",0
"Moher__Tom",0
"Molinari__Gaelle",0
"Montané__Mireia",0
"Moraveji__Neema",192
"Morley__Elizabeth",65.5400055044762
"Moskaliuk__Johannes",1
"Motto__Andrea",67
"Mous__Karel",0
"Mu__Jin",43.1809523809523
"Mu__Su",0
"Mullins__Dejana",387
"Muukkonen__Hanni",4.5
"Najafi__Hedieh",0
"Namdar__Bahadia",0
"Nasser__Samira",0
"Nelson__Suzanne",0
"Newstead__Anne",0
"Nicolaido__Iolie",0
"Notari__Michele_P.",0
"Nüssli__Marc.Antoine",0
"Oehl__Michael",0
"Oksanen__Kimmo",0
"Oldershaw__Cally",0
"Ortega__Mario",0
"Oshima__Jun",2433.88377993798
"Paavola__Sami",0
"Palaiodimos__Aggelos",0
"Papanastasiou__Elena",0
"Park__Jonghwi",0
"Parussel__Karla",0
"Patel__Kishan",0
"Patton__Charles",0
"Patton__Charlie",0
"Pea__Roy",235
"Penuel__William",87.7333333333334
"Peppler__Kylie",4
"Perez.Lopez__David",0
"Perez.Rodriguez__Roberto",0
"Perreault__Christian",8.75
"Perrotta__Carlo",0
"Perry__Judy",0
"Peters__Vanessa",0
"Peterson__Patricia",0
"Petrick__Carmen",0
"Pfister__Hans.Ruediger",0
"Phielix__Chris",0
"Pilz__Florian",0
"Pinkwart__Niels",1100
"Plesch__Christine",0
"Poon__Tung_Keung",0
"Porte__John",0
"Prié__Yannick",0
"Prieto__Luis",0
"Prieto__Luis_P.",0
"Prilla__Michael",0
"Prins__Frans",0
"Puntambekar__Sadhana",1376.5
"Quellmalz__Edys_S.",0
"Raes__Annelies",0
"Raj__Bhiksha",0
"Rausch__Andreas",0
"Reale__Nathan",0
"Rebedea__Traian",1
"Redfors__Andreas",0
"Reedy__Gabriel_B.",0
"Reffay__Christophe",0
"Reilly__Mark",0
"Reimann__Peter",20
"Resendes__Monica",113.688328929752
"Richards__Debbie",352
"Richter__Christoph",17
"Ritella__Giuseppe",0
"Ritella__Guiseppe",0
"Robb__Anja",0
"Rogers__Yvonne",0
"Ronen__Michaela",0
"Ronen__Miky",0
"Rosberg__Maria",0
"Roschelle__Jeremy",554
"Rose__Carolyn",7423.20794424289
"Rose__Carolyn_P.",0
"Rosenheck__Louisa",0
"Roy__George",0
"Rudat__Anja",0
"Rugaber__Spencer",0
"Rummel__Nikol",604
"Rusman__Ellen",0
"Saarivesi__Eini",0
"Saballus__Ulf",0
"Saito__Moegi",0
"Salvador.Herranz__Gustavo",0
"Sami__Rahul",0
"Sander__Birgit",0
"Sarmiento.Klapper__Johann",0
"Sasaki__Hiroshi",0
"Sato__Elissa",0
"Sawyer__Keith",0
"Scanlon__Eileen",0
"Scardamalia__Marlene",606.457368844514
"Schank__Patricia",87.7333333333334
"Schanze__Sascha",278
"Schellens__Tammy",0
"Scheuer__Oliver",0
"Schmidt__Matthew",0
"Schrader__Josef",0
"Schubert__Kai",0
"Schwarz__Baruch",0
"Schwendimann__Beat",0
"Schwind__Christina",9.5
"Sclater__Madeleine",0
"Seitamaa.Hakkarainen__Pirita",796.881888253735
"Shaffer__David_Williamson",0
"Shao__Yin.Juan",0
"Shapiro__R._Benjamin",8
"Shaw__Erin",0
"Sheldon__Josh",0
"Shen__Haifeng",0
"Shen__Ji",0
"Shin__Ho.Chul",0
"Shirouzu__Hajime",278
"Showalter__Stephen",0
"Silva__Brenda_Lopez",0
"Sim__Chor_Miang",0
"Sinha__Suparna",0
"Sloep__Peter",0
"Slof__Bert",0
"Slotta__James",830
"Slotta__Jim",5927.67562098276
"Smith__Garrett",0
"So__Hyo.Jeong",0
"Songer__Nancy",0
"Southavilay__Vilaythong",0
"Spada__Hans",0
"Speer__Jennifer",0
"Spikol__Daniel",0
"Spreeuwenberg__Lia",0
"Squire__Kurt",0
"Stahl__Gerry",828
"Stegmann__Karsten",1791.42186925147
"Steinmeier__Christopher",0.25
"Stichter__Janine",0
"Stieff__Mike",0
"Streng__Sara",0
"Strijbos__Jan_Willem",0
"Subramaniam__Nantha_Kumar",0
"Sugimoto__Masanori",0
"Sullivan__Sarah",0
"Sumon__Saiful",0
"Sun__Daner",0
"Sun__Jizhen",0
"Sun__Yanqing",0
"Suthers__Dan",160.844444444444
"Suzuki__Hideyuki",0
"Svihla__Vanessa",0
"Tabak__Iris",3960
"Takeda__Yoshiaki",0
"Tan__Esther",0
"Tan__Seng_Chee",0
"Tarchi__Christian",0
"Taylor__Charlotte",0
"Taylor__Meredith",0
"Team__the_KBTN",0
"Teasley__Stephanie",0
"Tee__Meng_Yew",0
"Teplovs__Chris",0
"Teplovs__Christopher",554
"Thiel__Ansgar",0
"Tholander__Jakob",0
"Thompson__Kate",135
"Tian__Stella",0
"Tissenbaum__Mike",1295
"Toikka__Seppo",0
"Tomasetto__Carlo",0
"Toyama__Yukie",0
"Trausan.Matu__Stefan",1101
"Trninic__Dragan",0
"Tsai__Pei.Chen",2
"Tse__Andrew_Chung_Yee",0
"Tse__Hidy",0
"Tucker__Sean",0
"Tutwiler__M._Shane",0
"Twiner__Alison",0
"Tzeng__Ren.Yow",0
"Udani__Mikesh",0
"Unal__Zafer",0
"Underwood__Joshua",138.5
"Untch__Roland",0
"Vahey__Phil",0
"Valbuena__Widman_Said",0
