"","x"
"Roschelle__Jeremy",0
"Rose__Carolyn",0
"Rosè__Carolyn",0
"Rose__Shari",0
"Rosengren__Karl",0
"Rouinfar__Amy",0
"Rowden.Quince__Bianca",0
"Rugaber__Spencer",0
"Rummel__Nikol",144
"Russ__Rosemary",0
"Ryan__Stephanie",0
"Ryoo__Kihyun",0
"Ryssel__Jeannine",0
"Ryu__Minjung",0
"Ryu__Suna",0
"Saballus__Ulf",0
"Saffer__Jessica",0
"Saleem__Hafiz",0
"Saleh__Asmalina",0
"Samarapungavan__Ala",0
"San_Chee__Yam",0
"Sandoval__William",11
"Sands__Lorraine",0
"Santis__Maria",0
"Sato__Elissa",0
"Sattler__Brook",0
"Satwicz__Tom",0
"Saul__E._Wendy",0
"Sawyer__R._Keith",48
"Scalone__Giovanna",0
"Scarongella__Mariateresa",0
"Schanze__Sascha",0
"Schellens__Tammy",0
"Scherr__Rachel_E.",0
"Schifter__Catherine",0
"Schlichter__Natalia",0
"Schneider__Daniel",0
"Schneider__Rebecca",0
"Schunn__Christian_D.",0
"Schwan__Stephan",0
"Schwartz__Daniel_L.",0
"Schwarz__Baruch",679.5
"Schwonke__Rolf",0
"Scopelitis__Stephanie",0
"Sederberg__David",0
"Segers__Mien",0
"Sengupta__Pratim",0
"Seow__Peter_Sen_Kee",0
"Severance__Charles",0
"Sha__Li",0
"Shaenfield__David",0
"Shaffer__David_Williamson",3
"Shane.Sagiv__Chava",0
"Shankar__Tara_Rosenberger",0
"Shao__Yin.Juan",0
"Shapiro__R._Benjamin",0
"Sharma__Priya",0
"Sharples__Mike",0
"Shea__Nicole",0
"Shechtman__Nicole",0
"Shelton__Brett",0
"Shemwell__Jonathan_T.",0
"Shen__Ji",11.25
"Sherin__Bruce",11
"Sherin__Miriam",0
"Shin__Namsoo",0
"Shouse__Andrew",0
"Shuman__Larry_J.",0
"Shute__Valerie",0
"Shutt__Kari",0
"Siewiorek__Anna",0
"Siewiorek__Nora",0
"Sikorski__Tiffany.Rose",0
"Silva__Brenda_Lopez",0
"Sinatra__Gale_M.",50
"Singer__Nancy",0
"Sinha__Suparna",0
"Sins__Patrick",0
"Sionti__Marietta",0
"Sipitakiat__Arnan",0
"Sisk.Hilton__Stephanie",0
"Slack__Kent",0
"Slof__Bert",0
"Slotta__James",26
"Smith__Ann",0
"Smith__Brian_K.",504
"Smith__Garrett",0
"So__Hyo.Jeong",5
"Solomon__Tanya_Cleveland",0
"Solomou__Maria",0
"Spada__Hans",0
"Squire__Kurt",0
"Srinivasan__Saranya",0
"Stahl__Gerry",396
"Starner__Thad",0
"Steinkuehler__Constance",979
"Steinmeier__Christopher",0
"Stevens__Maggie",0
"Stevens__Reed",49.5
"Stevens__Shawn",0
"Stieff__Mike",8
"Stigler__James",0
"Stockdill__Darin",0
"Strauss__Eric",0
"Strijbos__Jan.Willem",0
"Stringer__Daniel",0
"Strobel__Johannes",0
"Stromholt__Shelley",0
"Stylianou.Georgiou__Agni",0
"Sullivan__Sarah",0
"Svihla__Vanessa",744
"Svoboda__Julia",0
"Swain__Jeff",0
"Swanson__Hillary",0
"Swarat__Su",0
"Sylvan__Elisabeth",0
"Tabak__Iris",45
"Takeuchi__Lori",0
"Tan__Chee.Lay",0
"Tan__Ek_Ming",0
"Tang__Xiaowei",0
"Tasquier__Giulia",0
"Tatar__Deborah",0
"Tateishi__Isaku",0
"Taylor__Amy",0
"Taylor__Katie",0
"Teasley__Stephanie_D.",21
"Tempelaar__Dirk",0
"Teplovs__Christopher",2
"Terzian__Frederiki",0
"Teske__Paul",0
"Thompson__Belinda",0
"Tinelli__Liz",0
"Togrol__Aysenur_Yontar",0
"Toh__Yancy",0
"Tomory__Annette",0
"Torres__Robert_J",0
"Townsend__Eve",0
"Tretter__Thomas",0
"Tucker.Raymond__Eli",0
"Turley__Eric",0
"Turns__Jennifer",0
"Tzeng__Jeng.Yi",0
"Tzialli__Dora",0.5
"Tzou__Carrie",0
"Uttal__David",0
"Vahey__Phil",0
"van_Aalst__Jan",0
"van_de_Sande__Carla",0
"Van_Haneghan__James",0
"van_Joolingen__Wouter",744
"Van_Keer__Hilde",0
"van_Merriënboer__Jeroen",0
"van_Meter__Peggy",0
"Varma__Keisha",0
"Vatrapu__Ravi",0
"Vattam__Swaroop",0
"Vauras__Marja",0
"Velazquez__Griselda",0
"Visintainer__Tammie",0
"Vye__Nancy",64
"Wagler__Mark",0
"Walker__Erin",0
"Walker__Joan",0
"Walkoe__Janet",0
"Waltman__Rhonda",0
"Wang__Christine",0
"Wang__Yi.Chia",0
"Wang__Zhan",0
"Wardrip__Peter",0
"Watermann__Rainer",0
"Wawro__Megan",0
"Weaver__Kimberly_A.",0
"Weber__Nicole",0
"Wecker__Christof",0
"Weimar__Stephen",0
"Weinberg__Paul",0
"Weinstock__Michael",0
"Weiss__Michael",0
"Wen__Yun",0
"Wendell__Kristen_B.",0
"West__Richard",0
"Weusijana__Kofi",0
"White__Barbara",0
"White__Tobin",0
"Wichmann__Astrid",0
"Wiebe__Eric",0
"Wilensky__Uri",5
"Wiley__Jennifer",0
"Wilhelm__Pascal",0
"Wilkerson.Jerde__Michelle",0
"Williams__Joseph",0
"Wilson__Amy_A.",0
"Wink__Donald",7
"Winters__Victoria",0
"Wittmann__Michael",0
"Wong__Lung.Hsiang",12
"Wong__O_W",0
"Woodruff__Earl",0
"Woods__Eric",0
"Wopereis__Iwan",0
"Wright__Christopher_G.",12
"Wright__Geoff",0
"Wylie__Ruth",0
"Yasri__Pratchayapong",0
"Ye__Xiaoxuan",0
"Yen__Iris",0
"Yoon__Susan",3
"Yuen__Johnny",0
"Zacharia__Zacharias_C.",0
"Zafrulla__Zahoor",0
"Zahn__Carmen",0
"Zandieh__Michelle",0
"Zellner__Moira",0
"Zembal.Saul__Carla",0
"Zemel__Alan",0
"Zhang__Baohui",0
"Zhang__Bei",0
"Zhang__Helen",319.75
"Zhang__Jianwei",0
"Zhang__Sili",0
"Zimmerman__Heather",1309
"Zuiker__Steven_J.",129
"Zviling.Beiser__Hilla",0
