"Author","tDegr","CSCL_1995","CSCL_1997","CSCL_1999","CSCL_2002","CSCL_2003","CSCL_2005","CSCL_2007","CSCL_2009","CSCL_2011","CSCL_2013","CSCL_2015","CSCL_2017","CSCL_2019","ICLS_1996","ICLS_1998","ICLS_2000","ICLS_2004","ICLS_2006","ICLS_2008","ICLS_2010","ICLS_2012","ICLS_2014","ICLS_2016","ICLS_2018","ICLS_2020","ISLS_2021"
"Eagan__Brendan_R",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.process","",""
"Farrar__Scott",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.science","",""
"Fisher__Douglas",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Fitzgerald__Miranda_S",4,"","","","","","","","","","","","","","","","","","","","","","","","project.based.learning","",""
"Flores__Yuliana",4,"","","","","","","","","","","","","","","","","","","","","","","","middle.school","",""
"Fritzsche__Eva_S.",4,"","","","","","","","","","","","","","","","","","","","","","","","primary.school","",""
"Genz__Florian",4,"","","","","","","","","","","","","","","","","","","","","","","","small.group","",""
"Goldin.Meadow__Susan",4,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Goodwin__Amanda",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Griffin__Jane",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Gutiérrez__José",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.experience","teacher.education",""
"Hamada__Rhonya_A",4,"","","","","","","","","","","","","","","","","","","","","","","","student.learning","",""
"Han__Shenshen",4,"","","","","","","","","","","","","","","","","","","","","","","","classroom.setting","",""
"Harty__Martha",4,"","","","","","","","","","","","","","","","","","","","","","","","student.collaborative","",""
"Haslbeck__Heidi",4,"","","","","","","","","","","","","","","","","","","","","","","","primary.school","",""
"Hodari__Apriel_K",4,"","","","","","","","","","","","","","","","","","","","","","","","computer.science","",""
"Hori__Kimihiko",4,"","","","","","","","","","","","","","","","","","","","","","","","formative.assessment","",""
"Hovis__Ken",4,"","","","","","","","","","","","","","","","","","","","","","","","student.collaborative","",""
"Huang__Hai",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.gain","",""
"Ikejiri__Ryohei",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.gain","",""
"Irle__Gabriele",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Iveland__Ashley",4,"","","","","","","","","","","","","","","","","","","","","","","","science.instruction","",""
"Kim__Dongsik",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.outcome","","graduate.student"
"Kim__Yoon_Jeon",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Kitazawa__Takeshi",4,"","","","","","","","","","","","","","","","","","","","","","","","design.based.research","",""
"Kittredge__Audrey",4,"","","","","","","","","","","","","","","","","","","","","","","","science.education","",""
"Kohlhauf__Lucia",4,"","","","","","","","","","","","","","","","","","","","","","","","primary.school","",""
"Kolb__John",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.science","",""
"Kümmel__Elke",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Lankes__Eva.Maria",4,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lee__Jinju",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.outcome","","graduate.student"
"Lee__Jong_Ha",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.science","",""
"Levin__Nehama_._Levin",4,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Levine__Susan_C.",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Levy__Milana",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Libberton__Jason",4,"","","","","","","","","","","","","","","","","","","","","","","","online.learning","",""
"Lim__Ji_Young",4,"","","","","","","","","","","","","","","","","","","","","","","","online.discussion","learning.environment","learning.activity"
"Litts__Breanne.Brayboy__Bryan_McKinley_Jones",4,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lo__Wei_Hong",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.gain","",""
"Lovett__Marsha",4,"","","","","","","","","","","","","","","","","","","","","","","","student.collaborative","",""
"Lowenthal__Patrick_R.",4,"","","","","","","","","","","","","","","","","","","","","","","","online.learning","",""
"Lubold__Nichola",4,"","","","","","","","","","","","","","","","","","","","","","","","middle.school","",""
"Margulieux__Lauren_E",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Modrek__Anahid_S.",4,"","","","","","","","","","","","","","","","","","","","","","","","professional.development","","science.curriculum"
"Mulvey__Elizabeth",4,"","","","","","","","","","","","","","","","","","","","","","","","computer.science","",""
"Nakaya__Kae",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.gain","",""
"Nakayama__Takahiro",4,"","","","","","","","","","","","","","","","","","","","","","","","formative.assessment","",""
"Narasimham__Gayathri",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Neuhaus__Birgit_Jana",4,"","","","","","","","","","","","","","","","","","","","","","","","primary.school","",""
"Ng__Kher_Hui",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.gain","",""
"Ocumpaugh__Jaclyn",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Ostrowski__Christopher_Peter",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.science","",""
"Palincsar__Annemarie_Palincsar",4,"","","","","","","","","","","","","","","","","","","","","","","","project.based.learning","",""
"Pardos__Zachary",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.science","",""
"Peh__Gao_Xian",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.science","",""
"Pon.Barry__Heather",4,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rahimi__Seyedahmad",4,"","","","","","","","","","","","","","","","","","","","","","","","conceptual.understanding","",""
"Rajendran__Ramkumar",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Reilly__Joseph_M",4,"","","","","","","","","","","","","","","","","","","","","","","","small.group","",""
"Ricca__Bernard",4,"","","","","","","","","","","","","","","","","","","","","","","","high.school","",""
"Ristvey__John_D.",4,"","","","","","","","","","","","","","","","","","","","","","","","science.education","",""
"Robinson__Kevin",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Russell__Randy",4,"","","","","","","","","","","","","","","","","","","","","","","","science.education","",""
"Schall__Max",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Searcy__John",4,"","","","","","","","","","","","","","","","","","","","","","","","middle.school","",""
"Sedas__Mishael",4,"","","","","","","","","","","","","","","","","","","","","","","","middle.school","",""
"Shaw__Fayette",4,"","","","","","","","","","","","","","","","","","","","","","","","computational.thinking","",""
"Small__Steven_L.",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Smith__Shaunna_F",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Stephens__Michelle_D",4,"","","","","","","","","","","","","","","","","","","","","","","","student.learning","",""
"Strauß__Sebastian",4,"","","","","","","","","","","","","","","","","","","","","","","","collaborative.activity","","collaborative.learning"
"Totorica__Tatia_B",4,"","","","","","","","","","","","","","","","","","","","","","","","online.learning","",""
"Tyler__Burr",4,"","","","","","","","","","","","","","","","","","","","","","","","science.instruction","",""
"Valcarcel__Joshua",4,"","","","","","","","","","","","","","","","","","","","","","","","science.instruction","",""
"Wallace__Scott_R",4,"","","","","","","","","","","","","","","","","","","","","","","","middle.school","",""
"Wang__Min",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Webb__Vanessa",4,"","","","","","","","","","","","","","","","","","","","","","","","computer.science","",""
"Wilson__Caitlin",4,"","","","","","","","","","","","","","","","","","","","","","","","student.teacher","",""
"Woods__Dawn",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","",""
"Yamamoto__Ryota",4,"","","","","","","","","","","","","","","","","","","","","","","","learning.gain","",""
"Young__Rose_Nicole",4,"","","","","","","","","","","","","","","","","","","","","","","","computer.science","",""
"Zaner__Sarah",4,"","","","","","","","","","","","","","","","","","","","","","","","student.learning","",""
"Zhang__Heyi",4,"","","","","","","","","","","","","","","","","","","","","","","","science.education","",""
"Appleby__Lara",4,"","","","","","","","","","","","","","","","","","","","","","","","","student.experience",""
"Aqazade__Mahtob",4,"","","","","","","","","","","","","","","","","","","","","","","","","elementary.student",""
"Arroyo__Ivon",4,"","","","","","","","","","","","","","","","","","","","","","","","","conceptual.understanding",""
"Boles__Kelly",4,"","","","","","","","","","","","","","","","","","","","","","","","","mathematics.teacher",""
"Botelho__Anthony",4,"","","","","","","","","","","","","","","","","","","","","","","","","conceptual.understanding",""
"Buell__Jason",4,"","","","","","","","","","","","","","","","","","","","","","","","","high.school",""
"Camp__Lucy_Grace",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Carman__Stacey",4,"","","","","","","","","","","","","","","","","","","","","","","","","teaching.practice",""
"Castle__Sarah",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Center__TCSS",4,"","","","","","","","","","","","","","","","","","","","","","","","","science.classroom",""
"Chalmers.Curren__Jennifer",4,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chen__Lizhen",4,"","","","","","","","","","","","","","","","","","","","","","","","","elementary.student",""
"Chen__Ying",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.science",""
"Chis__Jacqueline",4,"","","","","","","","","","","","","","","","","","","","","","","","","teacher.learning",""
"Claypool__Anthony",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Comstock__Meghan",4,"","","","","","","","","","","","","","","","","","","","","","","","","science.learning",""
"Conner__Laura_Carsten",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Coulson__Andrew",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Cox__Michala",4,"","","","","","","","","","","","","","","","","","","","","","","","","case.study",""
"Dadkhahfard__Shima",4,"","","","","","","","","","","","","","","","","","","","","","","","","design.learning",""
"Davies__Gareth",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Dickinson__Jessa",4,"","","","","","","","","","","","","","","","","","","","","","","","","informal.learning",""
"Dini__Vesal",4,"","","","","","","","","","","","","","","","","","","","","","","","","student.experience",""
"Dolev__Ronit",4,"","","","","","","","","","","","","","","","","","","","","","","","","science.classroom",""
"Duke__Jake",4,"","","","","","","","","","","","","","","","","","","","","","","","","science.learning",""
"Durkin__Kelley",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Ferrer__Nathaniel",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.science",""
"Foltz__Peter",4,"","","","","","","","","","","","","","","","","","","","","","","","","teacher.student",""
"Francisco__Joshua",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Furtak__Erin",4,"","","","","","","","","","","","","","","","","","","","","","","","","high.school",""
"Gadbury__Matt",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment","middle.school"
"Garcia__Leiny",4,"","","","","","","","","","","","","","","","","","","","","","","","","science.education",""
"Gaved__Mark",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Greenberg__Kevin",4,"","","","","","","","","","","","","","","","","","","","","","","","","teacher.education","cognitive.load"
"Haiduc__Ana.Maria",4,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hamilton__Megan",4,"","","","","","","","","","","","","","","","","","","","","","","","","design.based.research",""
"Harrison__Avery",4,"","","","","","","","","","","","","","","","","","","","","","","","","conceptual.understanding",""
"Huang__Evey",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Jacob__Sharin",4,"","","","","","","","","","","","","","","","","","","","","","","","","science.education",""
"Jambuge__Amali_Priyanka",4,"","","","","","","","","","","","","","","","","","","","","","","","","case.study",""
"Jang__Wonkyung",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Jarry.Shore__Michael",4,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Karunakaran__Shiv",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Kogen__Richard",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.science",""
"Kozlowski__Joseph",4,"","","","","","","","","","","","","","","","","","","","","","","","","student.learning",""
"Krajewski__Hannah",4,"","","","","","","","","","","","","","","","","","","","","","","","","qualitative.analysis",""
"Krakowski__Ari",4,"","","","","","","","","","","","","","","","","","","","","","","","","science.learning",""
"Küchle__Valentin_A._B.",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"LaMotte__Ellise",4,"","","","","","","","","","","","","","","","","","","","","","","","","student.experience",""
"Lane__H._Chad",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment","middle.school"
"Laverty__James_T.",4,"","","","","","","","","","","","","","","","","","","","","","","","","case.study",""
"Lavie.Alon__Nirit",4,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lieber__Rachel",4,"","","","","","","","","","","","","","","","","","","","","","","","","teacher.student",""
"Little__Anna",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Longnecker__Jennifer",4,"","","","","","","","","","","","","","","","","","","","","","","","","understanding.learning",""
"Malamut__James",4,"","","","","","","","","","","","","","","","","","","","","","","","","professional.development",""
"Mann__Michael",4,"","","","","","","","","","","","","","","","","","","","","","","","","understanding.learning",""
"Mannie__Cedric",4,"","","","","","","","","","","","","","","","","","","","","","","","","design.based.research",""
"McCarroll__Kathleen_Marley",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Nagy__Peter",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment","learning.activity"
"Neuhaus__Birgit_J.",4,"","","","","","","","","","","","","","","","","","","","","","","","","pre.service.teacher",""
"O.Connor__Catherine",4,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Okun__Ada",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Ollesch__Lisa",4,"","","","","","","","","","","","","","","","","","","","","","","","","qualitative.analysis",""
"Paek__Pamela",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Papathoma__Tina",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Pellino__Sam",4,"","","","","","","","","","","","","","","","","","","","","","","","","knowledge.building",""
"Pickal__Amadeus_J.",4,"","","","","","","","","","","","","","","","","","","","","","","","","pre.service.teacher",""
"Ran__Hua",4,"","","","","","","","","","","","","","","","","","","","","","","","","science.education",""
"Ranganathan__Nethra",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Richardson__Debra",4,"","","","","","","","","","","","","","","","","","","","","","","","","science.education",""
"Rittle.Johnson__Bethany",4,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rodgers__Aireale_J.",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.activity",""
"Roman__Natalie",4,"","","","","","","","","","","","","","","","","","","","","","","","","science.learning",""
"Rosenberg__Aaron",4,"","","","","","","","","","","","","","","","","","","","","","","","","understanding.learning",""
"Sabo__Hannah",4,"","","","","","","","","","","","","","","","","","","","","","","","","discourse.analysis",""
"San_Pedro__Maria_Ofelia_Z.",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Schmidt__Anthony",4,"","","","","","","","","","","","","","","","","","","","","","","","","understanding.learning",""
"Schnieders__Joyce",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Sebastian__Melinda",4,"","","","","","","","","","","","","","","","","","","","","","","","","professional.development",""
"Shero__Mason",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Smith__John_P.",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Sommer__Jessica",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Star__Jon",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Sullivan__P._Teal",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Tsurusaki__Blakely",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Tucker__Taylor",4,"","","","","","","","","","","","","","","","","","","","","","","","","problem.solving","problem.solving"
"Uysal__Seyda",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Villa__Anthony",4,"","","","","","","","","","","","","","","","","","","","","","","","","professional.development",""
"Waldron__Laura",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Wang__Changzhao",4,"","","","","","","","","","","","","","","","","","","","","","","","","science.education",""
"Weatherley__John",4,"","","","","","","","","","","","","","","","","","","","","","","","","teacher.student",""
"Weisenberger__Cora",4,"","","","","","","","","","","","","","","","","","","","","","","","","qualitative.analysis",""
"Wilson__Ashlyn",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment",""
"Withington__Lily",4,"","","","","","","","","","","","","","","","","","","","","","","","","student.experience",""
"Wu__Lily",4,"","","","","","","","","","","","","","","","","","","","","","","","","content.analysis",""
"Yang__Stephanie",4,"","","","","","","","","","","","","","","","","","","","","","","","","exploratory.study","student.learning"
"Yazzie__Kameica",4,"","","","","","","","","","","","","","","","","","","","","","","","","design.based.research",""
"Yi__Sherry",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment","middle.school"
"Yim__Rachel_A.",4,"","","","","","","","","","","","","","","","","","","","","","","","","learning.science",""
"Zhong__Jiuning",4,"","","","","","","","","","","","","","","","","","","","","","","","","knowledge.building",""
"Abed__Fayez",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Andersen__Renate",4,"","","","","","","","","","","","","","","","","","","","","","","","","","student.teacher"
"Aprin__Farbod",4,"","","","","","","","","","","","","","","","","","","","","","","","","","collaborative.learning"
"Balyan__Renu",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Banawan__Michelle",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Beckert__Betsy",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.activity"
"Bermudez__Vanessa_N.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","design.process"
"Bernier__Jeremy",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.experience"
"Bigman__Maxwell",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.science"
"Bowhay__Ciana",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.science"
"Bustamante__Andres_S.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","design.process"
"Chen__Jie",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.science"
"Chen__Si",4,"","","","","","","","","","","","","","","","","","","","","","","","","","social.network"
"Chew__Phebe",4,"","","","","","","","","","","","","","","","","","","","","","","","","","design.process"
"Chowdhury__Mahjabin",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.science"
"Closser__Avery_H.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.gain"
"Cross.Francis__Dionne",4,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dood__Amber_J.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Dunlap__Kathrin",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.science"
"Eimler__Sabrina_C.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","collaborative.learning"
"Finkenstaedt.Quinn__Solaire_A.",4,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fofang__Janet_Bih",4,"","","","","","","","","","","","","","","","","","","","","","","","","","computational.thinking"
"Fofang__Janet_Shufor_Bih_Epse",4,"","","","","","","","","","","","","","","","","","","","","","","","","","small.group"
"Friedman__Zach",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.science"
"Gao__Yuchan",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.experience"
"Garcia__Jorge_E.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.science"
"Gedrimienė__Eglė",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.analytics"
"Gee__Elisabeth_R.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.experience"
"Gere__Anne_R.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Gutiérrez__José_F.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","teacher.education"
"Horn__Michael_S.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","case.study"
"Hoyer__Christoph",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Hu__Xiao",4,"","","","","","","","","","","","","","","","","","","","","","","","","","collaborative.learning"
"Hunn__Christopher_T.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","case.study"
"Hurzlmeier__Maleen",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Jacobs__Jennifer_K.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Jäger__Joscha",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Jiao__Pengcheng",4,"","","","","","","","","","","","","","","","","","","","","","","","","","social.network"
"Johnson__Gabriella_M.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Jones__Bonni",4,"","","","","","","","","","","","","","","","","","","","","","","","","","case.study"
"Joseph__Merlyn",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.science"
"Ju__Bo",4,"","","","","","","","","","","","","","","","","","","","","","","","","","middle.school"
"Kamdar__Danae",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.experience"
"Kane__Shaun_K.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Katirci__Nihal",4,"","","","","","","","","","","","","","","","","","","","","","","","","","small.group"
"Kessner__Taylor_M.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.experience"
"Kokkonen__Henna",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.analytics"
"Leite__Walter_L.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Li__Xu",4,"","","","","","","","","","","","","","","","","","","","","","","","","","social.network"
"Lin__Yiwen",4,"","","","","","","","","","","","","","","","","","","","","","","","","","design.process"
"Mejia__Fabrizio_D.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","case.study"
"Moder__Sarah",4,"","","","","","","","","","","","","","","","","","","","","","","","","","collaborative.learning"
"Moon__Peter",4,"","","","","","","","","","","","","","","","","","","","","","","","","","computational.thinking"
"Niederhauser__Mario",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Raza__Ali",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Røkenes__Fredrik_Mørk",4,"","","","","","","","","","","","","","","","","","","","","","","","","","teacher.learning"
"Rosenberg__Joshua_M.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.science"
"Roy__Ethan",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.science"
"Rustad__Mikkel_Bertram",4,"","","","","","","","","","","","","","","","","","","","","","","","","","student.teacher"
"Shin__Jinnie",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Shiver__S.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","teacher.education"
"Shultz__Ginger_V.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Silvola__Anni",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.analytics"
"Stoler__Annabel",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.activity"
"Sung__Gahyun",4,"","","","","","","","","","","","","","","","","","","","","","","","","","student.learning"
"Suzara__Miroslav",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.science"
"Tal.Savir__Danna",4,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tamminen__Satu",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.analytics"
"Watzka__Bianca",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Wilkes__Theresa",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Winograd__Blair_A.",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.environment"
"Yoo__Tyler",4,"","","","","","","","","","","","","","","","","","","","","","","","","","student.learning"
"Zhou__Zhuqian",4,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.science"
"Zummo__Lynne",4,"","","","","","","","","","","","","","","","","","","","","","","","","","science.education"
"Booth__Kellogg_S.",3,"learning.environment","","","","","","","","","","","","","","","","","","","","","","","","",""
"Carlson__David",3,"learning.environment","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dalmau__Mary_C.",3,"learning.opportunity","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eales__R._T._Jim",3,"support.collaborative","","","collaborative.learning","","","","","","","","","","","","","","","","","","","","","",""
"Filho__Merval_Jurema",3,"learning.opportunity","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenberg__Saul",3,"collaborative.learning","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jurema__Ana_Cristina_L._A.",3,"learning.opportunity","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lima__Maria_Edite_Costa",3,"learning.opportunity","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nichols__David_M.",3,"collaborative.learning","","","","","","","","","","","","","","","","","","","","","","","","",""
"Smith__Gareth",3,"collaborative.learning","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trevor__Jonathan",3,"collaborative.learning","","","","","","","","","","","","","","","","","","","","","","","","",""
"Upitis__Rena",3,"learning.environment","","","","","","","","","","","","","","","","","","","","","","","","",""
"Weiner__Arlene",3,"school.science","learning.activity","","","","","","","","","","","","","","","","","","","","","","","",""
"Baecker__Ronald",3,"","high.school","","","","","","","","","","","","","","","","","","","","","","","",""
"Becker__Marci",3,"","high.school","","","","","","","","","","","","","","","","","","","","","","","",""
"Cohen__Bruce",3,"","instructional.design","","","","","","","","","","","","","","","","","","","","","","","",""
"Duffy__Tom",3,"","small.group","","","problem.solving","","","","","","","","","","","","","","","","","","","","",""
"Gifford__Bernard_R.",3,"","case.study","learning.environment","","","","","","","","","","","","","","","","","","","","","","",""
"Groeneboer__Chris",3,"","learning.environment","","","","","","","","","","","","","","","","","","","","","","","",""
"Hosoya__Katsumi",3,"","learning.environment","","","","","","","","","","","","","","","","","","","","","","","",""
"Kakuta__Susumu",3,"","learning.environment","","","","","","","","","","","","","","","","","","","","","","","",""
"Kawanobe__Akihisa",3,"","learning.environment","","","","","","","","","","","","","","","","","","","","","","","",""
"Kozma__Robert",3,"","learning.environment","learning.environment","","","","","","","","","","","","","","","","","","","","","","",""
"Lang__Ruth",3,"","learning.environment","","","","","","","","","","","","","","","","","","","","","","","",""
"Li__Yibing",3,"","computer.supported","","","","","","","","","","","","","","","","","","","","","","","",""
"Morse__Doug",3,"","instructional.design","","","","","","","","","","","","","","","","","","","","","","","",""
"Poplar__Stephen",3,"","high.school","","","","","","","","","","","","","","","","","","","","","","","",""
"Posner__Ilona",3,"","high.school","","","","","","","","","","","","","","","","","","","","","","","",""
"Sharma__Munish",3,"","learning.environment","","","","","","","","","","","","","","","","","","","","","","","",""
"Sipusic__Mike",3,"","instructional.design","","","","","","","","","","","","","","","","","","","","","","","",""
"Smith__Randall",3,"","computer.supported","","","","","","","","","","","","","","","","","","","","","","","",""
"Stockley__Denise",3,"","learning.environment","","","","","","","","","","","","","","","","","","","","","","","",""
"X__III",3,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Christal__Mark",3,"","","middle.school","","","","","","","","","","","","","","","","","","","","","","",""
"Conrad__William_H.",3,"","","professional.development","","","","","","","","","","","","","","","","","","","","","","",""
"Fenton__Jamie",3,"","","professional.development","","","","","","","","","","","","","","","","","","","","","","",""
