"Author","tDegr","CSCL_1995","CSCL_1997","CSCL_1999","CSCL_2002","CSCL_2003","CSCL_2005","CSCL_2007","CSCL_2009","CSCL_2011","CSCL_2013","CSCL_2015","CSCL_2017","CSCL_2019","ICLS_1996","ICLS_1998","ICLS_2000","ICLS_2004","ICLS_2006","ICLS_2008","ICLS_2010","ICLS_2012","ICLS_2014","ICLS_2016","ICLS_2018","ICLS_2020","ISLS_2021"
"MacLeod__Shaunna",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","","",""
"McPhee__Sara",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","","",""
"O.Day__Traci",9,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pandolfo__Anna",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","","",""
"Sabelli__Nora",9,"","","","","","","","","","","","","","","","","learning.environment","learning.science","","","","","","","",""
"Solomon__Cynthia",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","","",""
"Strobel__Johannes",9,"","","","","","","","","","","","","","","","","learning.environment","","","conceptual.understanding","","","","","",""
"Tackman__Jennifer",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","","",""
"Wang__Austin",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","","",""
"Welti.Santos__Larissa",9,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"White__Marie",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","","",""
"Wise__Susie",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","","",""
"Worth__Peter",9,"","","","","","","","","","","","","","","","","learning.environment","","","","","","","","",""
"Beals__Laura",9,"","","","","","","","","","","","","","","","","","young.child","","","","","","","",""
"Carberry__Adam",9,"","","","","","","","","","","","","","","","","","young.child","","","","","","","",""
"Cejka__Erin",9,"","","","","","","","","","","","","","","","","","young.child","","","","","","","",""
"Forte__Andrea",9,"","","","","","","","","","","","","","","","","","student.teacher","learning.science","learning.science","","","","","",""
"Lesh__Richard",9,"","","","","","","","","","","","","","","","","","learning.science","","","","","","","",""
