"","x"
"Villanosa__Krystal",7
"Visintainer__Tammie",0
"Vitale__Jonathan",14
"Vitale__Jonathan_M.",3
"Vogel__Freydis",4
"Wallon__Robert_C.",4
"Walsh__Elizabeth_M.",1
"Wan__Jarrad",4
"Wang__Xu",3
"Warrick__Elizabeth",4
"Wegerif__Rupert",11
"Weinberger__Armin",9
"Weintrop__David",5
"Weiser__Gary",4
"Weiss__Patrice_L.",19
"White__Tobin",1
"Whittaker__Chris",19
"Wichmann__Astrid",9
"Wiedmann__Michael",6
"Wigmore__Peter",10
"Wilensky__Uri",5
"Wilkerson__Michelle",1
"Wittmann__Michael_C.",1
"Wong__Lung.Hsiang",8
"Worker__Steven_M.",1
"Wu__Han",2
"Wu__Longkai",1
"Wu__Ying.Tien",4
"Xiao__Sihan",6
"Xie__Kui",5
"Xing__Chenmu",4
"Yan__Shulong",2
"Yang__Yuqin",2
"Yip__Jason_C.",2
"Yoon__Susan",4
"Yurkofsky__Maxwell",2
"Zhang__Jianwei",20
"Zheng__Tainian",5
"Zimmerman__Heather",5
"Zufferey__Guillaume",5
