"Author","CSCL_1995","CSCL_1997","CSCL_1999","CSCL_2002","CSCL_2003","CSCL_2005","CSCL_2007","CSCL_2009","CSCL_2011","CSCL_2013","CSCL_2015","CSCL_2017","CSCL_2019","ICLS_1996","ICLS_1998","ICLS_2000","ICLS_2004","ICLS_2006","ICLS_2008","ICLS_2010","ICLS_2012","ICLS_2014","ICLS_2016","ICLS_2018","ICLS_2020","ISLS_2021","tBetw"
"Rummel__Nikol",0,0,0,0,0,0,311.833333333333,80,604,25,373.5,332,0,0,0,0,0,0,45,144,5507,9095.10794353269,123.5,384.5,6,17,17048.441276866
"Kessner__Taylor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16960.5,0,16960.5
"Horn__Michael",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16597.9475642067,271.333333333333,16869.28089754
"Fishman__Barry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,16483.05186123,0,16627.05186123
"Linn__Marcia",0,0,0,0,0,0,0,0,8.5,483,0,21,5341.5,0,0,0,0,0,41,2006.25,1698,24,325,1074,4315,122,15459.25
"Sarmiento__Juan_Pablo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15267.2878487542,0,0,15267.2878487542
"Tissenbaum__Mike",0,0,0,0,0,0,0,0,1295,0,0,0,1,0,0,0,0,0,0,0,2064.46666666666,0,1028.16666666667,0,10571.6119928108,234,15194.2453261441
"Jona__Kemi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,14927,0,0,15112
"DesPortes__Kayla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11887.4874918805,3200,15087.4874918805
"Polman__Joseph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1905.31796536796,27,0,12885.9288984977,0,14845.2468638657
"Gee__Elisabeth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14539.5,0,14539.5
"Jurow__A._Susan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209.0787844424,0,13200.0961616177,0,0,14409.1749460601
"Slotta__James",0,0,0,0,0,0,0,6,830,222,129,3,0,0,0,0,0,0,9143.19047619048,26,0,796,2655.41666666667,0,0,313.166666666667,14123.7738095238
"van_Aalst__Jan",0,0,0,0,0,3.5,0,0,5785.09248264119,8,0,112.5,23,0,0,0,0,0,0,0,7964,5,14,5.5,0,0,13920.5924826412
"Gutierrez__Kris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973.89287104069,0,0,6623.56974901091,1055,13652.4626200516
"Stephens__A._Lynn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13632,0,13632
"Clegg__Tamara",0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,2024,0,0,11394.5181721802,0,0,13423.0181721802
"Taylor__Katie_Headrick",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3668.32182617657,0,0,9479.75882768296,0,13148.0806538595
"Slotta__Jim",0,0,0,0,0,0,0,0,5927.67562098276,1083,0,0,20,0,0,0,0,0,0,0,4893.36666666667,0,0,860,0,17,12801.0422876494
"Franklin__Diana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12795,0,12795
"Brush__Thomas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12619.2833340616,0,12619.2833340616
"Philip__Thomas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12342.4734819593,0,12342.4734819593
"Law__Nancy",0,0,0,0,0,0,0,0,11861.0586126643,0,0,0,0,0,0,0,0,0,0,396,11,0,1.5,2,6,0,12277.5586126643
"Clark__Douglas_B.",0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,13,1135.5,0,5880.50892644936,0,0,4964.65175377885,0,12067.6606802282
"Martin__Kit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11999.9703294841,0,11999.9703294841
"Bulalacao__Nicole_Marie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11887.4874918805,0,11887.4874918805
