"Author","CSCL_1995","CSCL_1997","CSCL_1999","CSCL_2002","CSCL_2003","CSCL_2005","CSCL_2007","CSCL_2009","CSCL_2011","CSCL_2013","CSCL_2015","CSCL_2017","CSCL_2019","ICLS_1996","ICLS_1998","ICLS_2000","ICLS_2004","ICLS_2006","ICLS_2008","ICLS_2010","ICLS_2012","ICLS_2014","ICLS_2016","ICLS_2018","ICLS_2020","ISLS_2021","tDegr"
"Kollar__Ingo",0,0,0,0,0,2,4,7,27,12,5,4,3,0,0,0,0,0,2,3,13,0,11,14,0,8,115
"Tabak__Iris",5,1,0,0,0,0,0,0,20,0,17,1,39,0,0,0,0,0,0,12,0,10,0,5,0,4,114
"Oshima__Jun",2,0,0,6,0,0,1,0,29,1,2,36,4,1,2,2,2,0,1,0,5,2,2,9,2,4,113
"Puntambekar__Sadhana",0,8,0,4,1,0,0,4,11,12,4,4,7,0,1,0,1,0,0,9,0,7,17,4,1,16,111
"Dillenbourg__Pierre",0,0,1,1,0,0,11,7,9,11,10,9,3,0,0,2,2,4,9,0,0,2,27,3,0,0,111
"Peppler__Kylie",0,0,0,0,0,0,1,0,3,0,10,1,6,0,0,0,0,11,21,2,0,9,11,19,6,11,111
"Polman__Joseph",0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,8,0,0,12,0,15,12,0,40,4,111
"Hoppe__Ulrich",0,0,1,2,0,9,10,8,3,5,9,11,20,0,0,0,3,2,7,2,4,0,9,0,0,4,109
"Stegmann__Karsten",0,0,0,0,0,4,12,11,19,12,14,4,0,0,0,0,0,8,21,0,2,2,0,0,0,0,109
"Lee__Victor",0,0,0,0,0,0,0,0,0,0,0,17,24,0,0,0,1,2,7,6,3,23,7,6,6,6,108
"Zimmerman__Heather",0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,4,18,12,0,18,5,0,36,6,106
"Hakkarainen__Kai",0,1,2,9,3,0,8,7,18,0,11,26,0,0,0,1,0,3,4,0,7,0,0,4,0,0,104
"Anderson__Emma",0,0,0,0,0,0,0,0,0,0,9,2,8,0,0,0,0,0,0,0,0,12,3,21,48,1,104
"Vogelstein__Lauren",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,12,39,29,100
"Weintrop__David",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,24,48,11,99
"Hoadley__Christopher",0,0,0,0,0,0,0,0,4,0,18,0,24,0,0,0,0,1,28,6,0,8,5,0,3,1,98
"Marin__Ananda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,72,14,98
"Pinkard__Nichole",0,0,0,0,0,0,0,0,0,3,0,9,0,0,2,2,1,0,35,9,4,0,0,13,11,6,95
"Tzou__Carrie",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,18,4,0,16,0,15,23,2,95
"Gutierrez__Kris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,50,14,94
